date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:08	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2024%20Sep%202019%2016:31:10%20GMT	https://nathaniels-awesome-project.webflow.io/robots.txt		(from )
18:31:08	5304/5304	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2016:31:10%20GMT	https://nathaniels-awesome-project.webflow.io/	C:/My%20Web%20Sites/LaserGuy/nathaniels-awesome-project.webflow.io/index.html	(from )
18:31:08	43444/43444	---M-Z	200	added ('OK')	text/css	etag:%228b9605091be99e2711c3d34fb5629752%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/css/nathaniels-awesome-project.webflow.10d30ebad.css	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/css/nathaniels-awesome-project.webflow.10d30ebad.css	(from https://nathaniels-awesome-project.webflow.io/)
18:31:09	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/LaserGuy/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://nathaniels-awesome-project.webflow.io/)
18:31:09	6518/6518	---M--	200	added ('OK')	image/x-icon	etag:%225e15ef3df4e561dd3c64347d907cd395%22	https://uploads-ssl.webflow.com/img/favicon.ico	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/img/favicon.ico	(from https://nathaniels-awesome-project.webflow.io/)
18:31:09	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/img/webclip.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:09	46844/46844	---M--	200	added ('OK')	image/png	etag:%223c0959e006903890d007d5e950931f7a%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a2b10cd466e43fa8e69f1_logorobotguy.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a2b10cd466e43fa8e69f1_logorobotguy.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:10	4121655/4121655	---M--	200	added ('OK')	image/gif	etag:%22339fe80c9c32a7ebe593a1362603b4d4%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a3e6782617c57534280d7_ezgif.com-optimize.gif	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a3e6782617c57534280d7_ezgif.com-optimize.gif	(from https://nathaniels-awesome-project.webflow.io/)
18:31:10	45595/45595	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2016:31:12%20GMT	https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/embed/0dNjudf4ARU7997.html	(from https://nathaniels-awesome-project.webflow.io/)
18:31:10	7395/7395	---M--	200	added ('OK')	image/png	etag:%22bd6ca721b755bf0e381e7ca7bd7088b5%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39034a2efe61b87ab2a9_icons8-play-button-500.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39034a2efe61b87ab2a9_icons8-play-button-500.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:10	6703/6703	---M--	200	added ('OK')	image/png	etag:%2298b18a54c7c85c96be38df43de11aa3c%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39037f57b99906b04d66_icons8-patreon-500.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39037f57b99906b04d66_icons8-patreon-500.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:10	5585/5585	---M--	200	added ('OK')	image/png	etag:%22d9c123eaf7e5accc4d72abe88d65b809%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39032198d3214dbe0db9_icons8-resume-website-500.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39032198d3214dbe0db9_icons8-resume-website-500.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:11	18658/18658	---M--	200	added ('OK')	image/png	etag:%2265d6e0aa3b530c9c4b605af58b9707d0%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a390333b3d42881cc1fca_icons8-email-500.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a390333b3d42881cc1fca_icons8-email-500.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:11	13687/13687	---M--	200	added ('OK')	image/png	etag:%221b2f77ff379d879eb1d3b9e154a702e2%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39037f57b9851ab04d67_icons8-steam-500.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39037f57b9851ab04d67_icons8-steam-500.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:11	11618/11618	---M--	200	added ('OK')	image/png	etag:%22015437fbb84cba0c675c23aeed63c0de%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39032198d3a54dbe0dcf_icons8-discord-500.png	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a39032198d3a54dbe0dcf_icons8-discord-500.png	(from https://nathaniels-awesome-project.webflow.io/)
18:31:11	88145/88145	---M--	200	added ('OK')	application/javascript	etag:%22220afd743d9e9643852e31a135a9f3ae%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.4.1.min.220afd743d.js	C:/My%20Web%20Sites/LaserGuy/d3e54v103j8qbb.cloudfront.net/js/jquery-3.4.1.min.220afd743d.js	(from https://nathaniels-awesome-project.webflow.io/)
18:31:12	33748/33748	---M-Z	200	added ('OK')	text/javascript	etag:%22aceecc10b5ea67cd9d7f7472232b171f%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/js/webflow.1bc56dc86.js	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/js/webflow.1bc56dc86.js	(from https://nathaniels-awesome-project.webflow.io/)
18:31:12	382118/382118	---M--	200	added ('OK')	image/jpeg	etag:%223c31fcebffcf956957f48a19baa3a777%22	https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a2640f24d2f1871790efb_LaserGuy%20V2.jpg	C:/My%20Web%20Sites/LaserGuy/uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/5d8a2640f24d2f1871790efb_LaserGuy%20V2.jpg	(from https://uploads-ssl.webflow.com/5d8a23c4ac6b86bcee986619/css/nathaniels-awesome-project.webflow.10d30ebad.css)
18:31:12	332/332	---M-Z	200	added ('OK')	text/plain	date:Tue,%2003%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/robots.txt		(from https://nathaniels-awesome-project.webflow.io/)
18:31:13	331456/331456	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Sep%202019%2009:51:07%20GMT	https://www.youtube.com/yts/cssbin/www-player-vflFe0gwD.css	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/yts/cssbin/www-player-vflFe0gwD.css	(from https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1)
18:31:13	1573/1573	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Sep%202019%2016:31:15%20GMT	https://www.youtube.com/img/meh7.png	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/img/meh7.11.delayed	(from https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1)
18:31:13	1885/1885	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Aug%202019%2003:57:50%20GMT	https://www.youtube.com/yts/img/ringo/hitchhiker/logo_small_2x-vfl4_cFqn.png	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/yts/img/ringo/hitchhiker/logo_small_2x-vfl4_cFqn.png	(from https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1)
18:31:13	2632/2632	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202019%2007:48:42%20GMT	https://www.youtube.com/yts/img/ringo/hitchhiker/logo_youtube_red_2x-vflOSHA_n.png	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/yts/img/ringo/hitchhiker/logo_youtube_red_2x-vflOSHA_n.png	(from https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1)
18:31:14	641/641	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Aug%202019%2019:40:56%20GMT	https://www.youtube.com/yts/img/ringo/hitchhiker/yt_play_logo_2x-vflXx5Pg3.png	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/yts/img/ringo/hitchhiker/yt_play_logo_2x-vflXx5Pg3.png	(from https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1)
18:31:14	107459/107459	---M--	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202019%2001:55:49%20GMT	https://www.youtube.com/yts/jsbin/www-embed-player-vflt09xm_/www-embed-player.js	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/yts/jsbin/www-embed-player-vflt09xm_/www-embed-player.js	(from https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1)
18:31:17	33486/33486	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202019%2016:05:37%20GMT	http://s.ytimg.com/yts/imgbin/www-hitchhiker-vflYQU35a.png	C:/My%20Web%20Sites/LaserGuy/s.ytimg.com/yts/imgbin/www-hitchhiker-vflYQU35a.png	(from https://www.youtube.com/yts/cssbin/www-player-vflFe0gwD.css)
18:31:17	1167725/1167725	---M--	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202019%2001:55:49%20GMT	https://www.youtube.com/yts/jsbin/player_ias-vfleGIwAA/en_US/base.js	C:/My%20Web%20Sites/LaserGuy/www.youtube.com/yts/jsbin/player_ias-vfleGIwAA/en_US/base.js	(from https://www.youtube.com/embed/0dNjudf4ARU?rel=0&controls=1&autoplay=0&mute=0&start=1)
